City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,66,89,10,4,AU,1612296169
Sarakhs,36.5449,61.1577,46.4,66,0,2.3,IR,1612296366
Punta Arenas,-53.15,-70.9167,64.4,59,75,28.77,CL,1612296366
Englewood,39.6478,-104.9878,63,21,40,3.44,US,1612296286
Aklavik,68.2191,-135.0107,-25.6,68,40,4.61,CA,1612296367
Port-Gentil,-0.7193,8.7815,82.4,89,20,5.75,GA,1612296367
Hilo,19.7297,-155.09,78.8,61,1,8.05,US,1612296367
Bluff,-46.6,168.3333,58.6,87,100,7.54,NZ,1612296070
Egvekinot,66.3167,-179.1667,-2.09,94,100,12.37,RU,1612296367
Caravelas,-17.7125,-39.2481,81.09,71,98,9.42,BR,1612296367
Auki,-8.7676,160.7034,78.12,86,87,6.71,SB,1612296367
Butaritari,3.0707,172.7902,81.97,82,94,19.66,KI,1612296368
Iqaluit,63.7506,-68.5145,-18.4,63,75,5.75,CA,1612296138
Clyde River,70.4692,-68.5914,-29.2,68,40,5.75,CA,1612296368
Saint-Augustin,51.226,-58.6502,19.47,90,100,8.97,CA,1612296368
Khorramshahr,30.4397,48.1664,57.2,58,0,2.3,IR,1612296368
Kaitangata,-46.2817,169.8464,64,89,100,3.8,NZ,1612296368
Iracoubo,5.4802,-53.2011,78.78,84,85,16.17,GF,1612296369
George Town,5.4112,100.3354,80.6,89,20,4.61,MY,1612296016
Launceston,-41.45,147.1667,52,87,25,9.22,AU,1612296369
Aswān,24.0934,32.907,65.35,26,0,1.16,EG,1612296369
Yellowknife,62.456,-114.3525,-11,70,90,11.5,CA,1612296087
Halifax,44.6453,-63.5724,39,93,100,34.52,CA,1612296369
San Javier,37.8063,-0.8374,57,100,0,6.91,ES,1612296369
Agüimes,27.9054,-15.4461,66,82,20,11.5,ES,1612296369
Rikitea,-23.1203,-134.9692,77.97,76,50,14.52,PF,1612296370
Port Blair,11.6667,92.75,76.44,80,0,11.23,IN,1612296370
Bāfq,31.6128,55.4107,49.41,43,0,0.51,IR,1612296370
Atuona,-9.8,-139.0333,77.83,80,3,17,PF,1612296370
Hobart,-42.8794,147.3294,57,76,75,5.75,AU,1612296078
Bethel,41.3712,-73.414,32,86,90,10.36,US,1612296162
Cabo San Lucas,22.8909,-109.9124,78.8,47,20,8.05,MX,1612296350
Chicama,-7.8447,-79.1469,71.6,78,0,9.22,PE,1612296370
Chui,-33.6971,-53.4616,80.56,66,92,6.42,UY,1612296371
Minggang,32.4586,114.0486,42.28,71,0,3.62,CN,1612296371
Husavik,66.0449,-17.3389,8.6,78,0,6.91,IS,1612296371
Bredasdorp,-34.5322,20.0403,64.4,77,0,2.3,ZA,1612296187
